;Correction - VAT;Vendor statement reconciliation;Correction - VAT;1o1;Correction - VAT;Vendor statement reconciliation;Correction - VAT;1o1;Correction - VAT;Answering voicemails;Correction - VAT;Correction - VAT;Vendor statement reconciliation;Correction - VAT;1o1;Cash forecast report;Execute on Chile foreign payments ;
;Correction - Other system error;Blocked invoice follow up;Correction - Other system error;Training - Mandatory;Correction - Other system error;Blocked invoice follow up;Correction - Other system error;Training - Mandatory;Correction - Other system error;Vendor statement reconciliation;Correction - Other system error;Correction - Other system error;Blocked invoice follow up;Correction - Other system error;Training - Mandatory;GR-IR reconciliation;IC netting preparation + payments ;
;Correction - Due to autoposting;Dicom follow up - Chille;Correction - Due to autoposting;Training - On the job/ Ad-hoc;Correction - Due to autoposting;Dicom follow up - Chille;Correction - Due to autoposting;Training - On the job/ Ad-hoc;Correction - Due to autoposting;Blocked invoice follow up;Correction - Due to autoposting;Correction - Due to autoposting;Dicom follow up - Chille;Correction - Due to autoposting;Training - On the job/ Ad-hoc;Blackline preparation;Payment reconcilation ;
;Correction  -Due to AP mistakes;Factoring follow up - Chille;Correction  -Due to AP mistakes;Huddles;Correction  -Due to AP mistakes;Factoring follow up - Chille;Correction  -Due to AP mistakes;Huddles;Correction  -Due to AP mistakes;Dicom follow up - Chille;Correction  -Due to AP mistakes;Correction  -Due to AP mistakes;Factoring follow up - Chille;Correction  -Due to AP mistakes;Huddles;Union Pacific;Provide Payment proofs ;
;Correction  -Business Request;Proposal error check;Correction  -Business Request;Business specific calls - Stake holder management;Correction  -Business Request;Proposal error check;Correction  -Business Request;Business specific calls - Stake holder management;Correction  -Business Request;Factoring follow up - Chille;Correction  -Business Request;Correction  -Business Request;Proposal error check;Correction  -Business Request;Business specific calls - Stake holder management;Upstream Metric refresh;Payment issue resolution ;
;RTV - From SAP;Escalation handling;RTV - From SAP;Logistic meeting;RTV - From SAP;Escalation handling;RTV - From SAP;Logistic meeting;RTV - From SAP;Proposal error check;RTV - From SAP;RTV - From SAP;Escalation handling;RTV - From SAP;Logistic meeting;Reporting;Complete ad-hoc email requests;
;Team meeting;Key- account management;End user support (Query);Dashbord review prep;Team meeting;Key- account management;End user support (Query);Dashbord review prep;Team meeting;Escalation handling;End user support (Query);Team meeting;Key- account management;End user support (Query);Dashbord review prep;CI Projects;Participate in ad-hoc conf calls;
;1o1;MDG follow up/ calls ;Answering e-mails (suppliers);KPI Report outs;1o1;MDG follow up/ calls ;Answering e-mails (suppliers);KPI Report outs;1o1;Key- account management;Answering e-mails (suppliers);1o1;MDG follow up/ calls ;Answering e-mails (suppliers);KPI Report outs;Email handling;Complete payments;
;Training - Mandatory;MDG change and creation requests;Answering business request;Manual Payments Request preparation/handling;Training - Mandatory;MDG change and creation requests;Answering business request;Manual Payments Request preparation/handling;Training - Mandatory;MDG follow up/ calls ;Answering business request;Training - Mandatory;MDG change and creation requests;Answering business request;Manual Payments Request preparation/handling;Other projects;Complete process related testing;
;Training - On the job/ Ad-hoc;Team meeting;Answering incoming phone calls;Off-cycle Request preparation/handling;Training - On the job/ Ad-hoc;Team meeting;Answering incoming phone calls;Off-cycle Request preparation/handling;Training - On the job/ Ad-hoc;MDG change and creation requests;Answering incoming phone calls;Training - On the job/ Ad-hoc;Team meeting;Answering incoming phone calls;Off-cycle Request preparation/handling;;;
;Huddles;1o1;Answering voicemails;Incoming query categorisation;Huddles;1o1;Answering voicemails;Incoming query categorisation;Huddles;Team meeting;Answering voicemails;Huddles;1o1;Answering voicemails;Incoming query categorisation;;;
;Business specific calls - Stake holder management;Training - Mandatory;Vendor statement reconciliation;Daily Dashboard fill out;Business specific calls - Stake holder management;Training - Mandatory;Vendor statement reconciliation;Daily Dashboard fill out;Business specific calls - Stake holder management;1o1;Vendor statement reconciliation;Business specific calls - Stake holder management;Training - Mandatory;Vendor statement reconciliation;Daily Dashboard fill out;;;
;Logistic meeting;Training - On the job/ Ad-hoc;Blocked invoice follow up;Visual board fill out;Logistic meeting;Training - On the job/ Ad-hoc;Blocked invoice follow up;Visual board fill out;Logistic meeting;Training - Mandatory;Blocked invoice follow up;Logistic meeting;Training - On the job/ Ad-hoc;Blocked invoice follow up;Visual board fill out;;;
;Visual board fill out;Huddles;Dicom follow up - Chille;MJE;Visual board fill out;Huddles;Dicom follow up - Chille;MJE;Visual board fill out;Training - On the job/ Ad-hoc;Dicom follow up - Chille;Visual board fill out;Huddles;Dicom follow up - Chille;MJE;;;
;MJE;Business specific calls - Stake holder management;Factoring follow up - Chille;Fcloco transaction;MJE;Business specific calls - Stake holder management;Factoring follow up - Chille;Fcloco transaction;MJE;Huddles;Factoring follow up - Chille;MJE;Business specific calls - Stake holder management;Factoring follow up - Chille;Fcloco transaction;;;
;Intercompany;Manual Payments Request preparation/handling;Proposal error check;Working file reporting;Intercompany;Manual Payments Request preparation/handling;Proposal error check;Working file reporting;Intercompany;Business specific calls - Stake holder management;Proposal error check;Intercompany;Manual Payments Request preparation/handling;Proposal error check;Working file reporting;;;
;>$5k validation;Off-cycle Request preparation/handling;Escalation handling;Workday administration (req, evaluations, approvals);>$5k validation;Off-cycle Request preparation/handling;Escalation handling;Workday administration (req, evaluations, approvals);>$5k validation;Manual Payments Request preparation/handling;Escalation handling;>$5k validation;Off-cycle Request preparation/handling;Escalation handling;Workday administration (req, evaluations, approvals);;;
;P-Card clearing;Insurance Tracker handling;Key- account management;Team member support;P-Card clearing;Insurance Tracker handling;Key- account management;Team member support;P-Card clearing;Off-cycle Request preparation/handling;Key- account management;P-Card clearing;Insurance Tracker handling;Key- account management;Team member support;;;
;CI investigation/preparation;Visual board fill out;Team meeting;Pending on business reporting / follow up;CI investigation/preparation;Visual board fill out;Team meeting;Pending on business reporting / follow up;CI investigation/preparation;Insurance Tracker handling;Team meeting;CI investigation/preparation;Visual board fill out;Team meeting;Pending on business reporting / follow up;;;
;Administration (sharepoint, templates);MJE;1o1;Interviews;Administration (sharepoint, templates);MJE;1o1;Interviews;Administration (sharepoint, templates);Visual board fill out;1o1;Administration (sharepoint, templates);MJE;1o1;Interviews;;;
;;CI investigation/preparation;Training - Mandatory;Manage / approve access requests;;CI investigation/preparation;Training - Mandatory;Manage / approve access requests;DI posting;MJE;Training - Mandatory;;CI investigation/preparation;Training - Mandatory;Manage / approve access requests;;;
;;Administration (sharepoint, templates);Training - On the job/ Ad-hoc;Material preparation for meetings;;Administration (sharepoint, templates);Training - On the job/ Ad-hoc;Material preparation for meetings;;CI investigation/preparation;Training - On the job/ Ad-hoc;;Administration (sharepoint, templates);Training - On the job/ Ad-hoc;Material preparation for meetings;;;
;;Manual Payment Request follow up;Huddles;Ad-hoc requests (HR, business);;Incoming query categorisation;Huddles;Ad-hoc requests (HR, business);;Administration (sharepoint, templates);Huddles;;Manual Payment Request follow up;Huddles;Ad-hoc requests (HR, business);;;
;;Down Payment Request preparation/handling;Business specific calls - Stake holder management;CI investigation/preparation;;Manual Payment Request follow up;Business specific calls - Stake holder management;CI investigation/preparation;;DI posting;Business specific calls - Stake holder management;;Down Payment Request preparation/handling;Business specific calls - Stake holder management;CI investigation/preparation;;;
;;CI follow up;Logistic meeting;Administration (sharepoint, templates);;Down Payment Request preparation/handling;Logistic meeting;Administration (sharepoint, templates);;DI reconciliation (weekly);Logistic meeting;;CI follow up;Logistic meeting;Administration (sharepoint, templates);;;
;;;Dashbord review prep;RCA preparation;;CI follow up;Dashbord review prep;RCA preparation;;DI report (weekly);Dashbord review prep;;;Dashbord review prep;RCA preparation;;;
;;;Manual Payments Request preparation/handling;Manual Payment Request follow up;;;Manual Payments Request preparation/handling;Manual Payment Request follow up;;XML handling and uploading;Manual Payments Request preparation/handling;;;Manual Payments Request preparation/handling;Manual Payment Request follow up;;;
;;;Off-cycle Request preparation/handling;Down Payment Request preparation/handling;;;Off-cycle Request preparation/handling;Down Payment Request preparation/handling;;IRS - EDOC reconciliation (bi-weekly);Off-cycle Request preparation/handling;;;Off-cycle Request preparation/handling;Down Payment Request preparation/handling;;;
;;;Incoming query categorisation;CI follow up;;;Incoming query categorisation;CI follow up;;EDOC VIM reconciliation (weekly);Incoming query categorisation;;;Incoming query categorisation;CI follow up;;;
;;;Daily Dashboard fill out;;;;Daily Dashboard fill out;;;Manual Payment Request follow up;Daily Dashboard fill out;;;Daily Dashboard fill out;;;;
;;;Visual board fill out;;;;Visual board fill out;;;Down Payment Request preparation/handling;Visual board fill out;;;Visual board fill out;;;;
;;;MJE;;;;MJE;;;CI follow up;MJE;;;MJE;;;;
;;;Intercompany;;;;Intercompany;;;;Intercompany;;;Intercompany;;;;
;;;Fcloco transaction;;;;Fcloco transaction;;;;Fcloco transaction;;;Fcloco transaction;;;;
;;;Working file reporting;;;;Working file reporting;;;;Working file reporting;;;Working file reporting;;;;
;;;Team member support;;;;Team member support;;;;Team member support;;;Team member support;;;;
;;;Pending on business reporting / follow up;;;;Pending on business reporting / follow up;;;;Pending on business reporting / follow up;;;Pending on business reporting / follow up;;;;
;;;Material preparation for meetings;;;;Material preparation for meetings;;;;Material preparation for meetings;;;Material preparation for meetings;;;;
;;;Ad-hoc requests (HR, business);;;;Ad-hoc requests (HR, business);;;;Ad-hoc requests (HR, business);;;Ad-hoc requests (HR, business);;;;
;;;CI investigation/preparation;;;;CI investigation/preparation;;;;CI investigation/preparation;;;CI investigation/preparation;;;;
;;;Administration (sharepoint, templates);;;;Administration (sharepoint, templates);;;;Administration (sharepoint, templates);;;Administration (sharepoint, templates);;;;
;;;RCA preparation;;;;RCA preparation;;;;RCA preparation;;;RCA preparation;;;;
;;;Manual Payment Request follow up;;;;Manual Payment Request follow up;;;;DI posting;;;Manual Payment Request follow up;;;;
;;;Down Payment Request preparation/handling;;;;Down Payment Request preparation/handling;;;;Manual Payment Request follow up;;;Down Payment Request preparation/handling;;;;
;;;CI follow up;;;;CI follow up;;;;Down Payment Request preparation/handling;;;CI follow up;;;;
;;;;;;;;;;;CI follow up;;;;;;;
